Name,Scientific Name,Climate of Growth,Life Span,Soil,Adequate Rainfall,Regions1,Regions2,Regions3,Season
Cranberry,Vaccinium macrocarpon,Temperate,10-20 years,Peaty,600-800 mm,North America,Europe,Asia,Autumn
Cumin,Cuminum cyminum,Tropical,1 year,Sandy Loam,500-700 mm,Asia,Africa,South America,Summer
Daffodil,Narcissus,Temperate,2-3 years,Loamy,600-800 mm,Europe,Asia,North America,Spring
Date Palm,Phoenix dactylifera,Tropical,70-100 years,Sandy,1500-2000 mm,Africa,Asia,South America,Summer
Daphne,Daphne odora,Temperate,5-10 years,Loamy,500-800 mm,Asia,Europe,North America,Spring
Dragon Fruit,Hylocereus undatus,Tropical,5-10 years,Sandy Loam,800-1200 mm,South America,Asia,Africa,Summer
Durian,Durio zibethinus,Tropical,80-150 years,Loamy,1500-2000 mm,Asia,Africa,South America,Summer
Elderberry,Sambucus nigra,Temperate,15-30 years,Loamy,600-800 mm,Europe,Asia,North America,Autumn
Endive,Cichorium endivia,Temperate,1-2 years,Sandy Loam,500-700 mm,Europe,Asia,North America,Spring
Fig,Ficus carica,Tropical,50-100 years,Loamy,600-900 mm,Asia,North America,Africa,Summer
Flax,Linum usitatissimum,Temperate,1 year,Sandy Loam,500-800 mm,Europe,Asia,North America,Summer
Foxglove,Digitalis purpurea,Temperate,2-3 years,Sandy Loam,600-800 mm,Europe,Asia,North America,Spring
Freesia,Freesia,Tropical,1 year,Loamy,600-900 mm,Africa,Asia,Europe,Summer
Gardenia,Gardenia jasminoides,Tropical,5-10 years,Loamy,1000-1500 mm,Asia,Africa,South America,Summer
Ginger,Zingiber officinale,Tropical,1 year,Loamy,1500-2000 mm,Asia,Africa,South America,Summer
Ginseng,Panax ginseng,Temperate,10-20 years,Loamy,700-1000 mm,Asia,Europe,North America,Autumn
Gooseberry,Ribes uva-crispa,Temperate,5-10 years,Loamy,600-900 mm,Europe,Asia,North America,Spring
Gourd,Lagenaria siceraria,Tropical,1 year,Sandy Loam,500-700 mm,Asia,Africa,South America,Summer
Grape Hyacinth,Muscari,Temperate,2-3 years,Loamy,600-800 mm,Europe,Asia,North America,Spring
Guava,Psidium guajava,Tropical,20-40 years,Sandy Loam,700-900 mm,Asia,Africa,South America,Summer
Hawthorn,Crataegus monogyna,Temperate,100-150 years,Sandy Loam,500-700 mm,Europe,Asia,North America,Autumn
Hazelnut,Corylus avellana,Temperate,50-80 years,Sandy Loam,500-800 mm,Europe,Asia,North America,Summer
Hops,Humulus lupulus,Temperate,10-20 years,Sandy Loam,600-900 mm,Europe,Asia,North America,Summer
Hyacinth,Hyacinthus orientalis,Temperate,2-5 years,Sandy Loam,600-800 mm,Europe,Asia,North America,Spring
Jackfruit,Artocarpus heterophyllus,Tropical,50-100 years,Loamy,1000-1500 mm,Asia,Africa,South America,Summer
Jalapeno,Capsicum annuum,Tropical,1 year,Sandy Loam,600-900 mm,North America,Asia,Africa,Summer
Jojoba,Simmondsia chinensis,Tropical,100-200 years,Sandy Loam,300-500 mm,North America,Africa,Asia,Summer
Juniper,Juniperus communis,Temperate,200-400 years,Sandy Loam,600-900 mm,Europe,Asia,North America,Winter
Kale,Brassica oleracea var. sabellica,Temperate,1 year,Sandy Loam,500-700 mm,Europe,Asia,North America,Autumn
Kiwifruit,Actinidia deliciosa,Tropical,20-40 years,Sandy Loam,700-1000 mm,Asia,Europe,North America,Summer
Kohlrabi,Brassica oleracea var. gongylodes,Temperate,1 year,Sandy Loam,600-900 mm,Europe,Asia,North America,Summer
Lavender,Lavandula angustifolia,Temperate,5-10 years,Sandy Loam,500-800 mm,Europe,Asia,North America,Summer
Lentil,Lens culinaris,Temperate,1 year,Loamy,400-600 mm,Asia,Europe,North America,Spring
Licorice,Glycyrrhiza glabra,Temperate,5-10 years,Sandy Loam,500-800 mm,Asia,Europe,North America,Autumn
Lilac,Syringa vulgaris,Temperate,30-50 years,Loamy,600-800 mm,Europe,Asia,North America,Spring
Lily of the Valley,Convallaria majalis,Temperate,10-15 years,Sandy Loam,500-800 mm,Europe,Asia,North America,Spring
Linden,Tilia cordata,Temperate,100-300 years,Sandy Loam,600-900 mm,Europe,Asia,North America,Autumn
Litchi,Litchi chinensis,Tropical,20-40 years,Sandy Loam,1000-1500 mm,Asia,Africa,South America,Summer
Loquat,Eriobotrya japonica,Tropical,20-30 years,Sandy Loam,600-900 mm,Asia,Africa,South America,Summer
Lychee,Litchi chinensis,Tropical,20-40 years,Sandy Loam,1000-1500 mm,Asia,Africa,South America,Summer
Magnolia,Magnolia grandiflora,Temperate,100-200 years,Loamy,600-900 mm,North America,Europe,Asia,Spring
Lilac,Syringa vulgaris,Temperate,30-50 years,Loamy,600-800 mm,Europe,Asia,North America,Spring
Lily of the Valley,Convallaria majalis,Temperate,10-15 years,Sandy Loam,500-800 mm,Europe,Asia,North America,Spring
Linden,Tilia cordata,Temperate,100-300 years,Sandy Loam,600-900 mm,Europe,Asia,North America,Autumn
Litchi,Litchi chinensis,Tropical,20-40 years,Sandy Loam,1000-1500 mm,Asia,Africa,South America,Summer
Loquat,Eriobotrya japonica,Tropical,20-30 years,Sandy Loam,600-900 mm,Asia,Africa,South America,Summer
Lychee,Litchi chinensis,Tropical,20-40 years,Sandy Loam,1000-1500 mm,Asia,Africa,South America,Summer
Magnolia,Magnolia grandiflora,Temperate,100-200 years,Loamy,600-900 mm,North America,Europe,Asia,Spring
Parsleys,Petroselinum crispum,"Mild to warm (50–70°F)",Biennial,"Well-draining, rich loamy soil, pH 5.5-7.0","1 inch per week (moderate watering)",Mediterranean,North America,"Europe and parts of Asia","Spring and fall"
